sedol,quantity,reportDate,created_at,updated_at,deleted_at,report_date,createdAt,updatedAt
6545464,1030804,,,,,10/31/2024,1734618657.0,1734618657.0
BN12D39,2225680,,,,,10/31/2024,1734618657.0,1734618657.0
B03MN70,360828,,,,,10/31/2024,1734618657.0,1734618657.0
B403QG4,9987,,,,,10/31/2024,1734618657.0,1734618657.0
B12LZH9,320274,,,,,10/31/2024,1734618657.0,1734618657.0
B0LX3Y2,765014,,,,,10/31/2024,1734618657.0,1734618657.0
BMBQDF6,90590,,,,,10/31/2024,1734618657.0,1734618657.0
BZ1MXR7,1423484,,,,,10/31/2024,1734618657.0,1734618657.0
6761000,101,,,,,10/31/2024,1734618657.0,1734618657.0
B1YW0L9,26415,,,,,10/31/2024,1734618657.0,1734618657.0
BRF6FX9,90819,,,,,10/31/2024,1734618657.0,1734618657.0
BZBFKT7,31499,,,,,10/31/2024,1734618657.0,1734618657.0
B0D0006,113669,,,,,10/31/2024,1734618657.0,1734618657.0
B2RLCR0,12713,,,,,10/31/2024,1734618657.0,1734618657.0
6440859,26523,,,,,10/31/2024,1734618657.0,1734618657.0
BD0YVN2,13580,,,,,10/31/2024,1734618657.0,1734618657.0
BLGM738,21084,,,,,10/31/2024,1734618657.0,1734618657.0
B01RM25,744743,,,,,10/31/2024,1734618657.0,1734618657.0
6322173,409997,,,,,10/31/2024,1734618657.0,1734618657.0
B12LR51,197907,,,,,10/31/2024,1734618657.0,1734618657.0
6624471,484421,,,,,10/31/2024,1734618657.0,1734618657.0
6606996,1108139,,,,,10/31/2024,1734618657.0,1734618657.0
B59L4L7,824340,,,,,10/31/2024,1734618657.0,1734618657.0
BC9ZH86,64449,,,,,10/31/2024,1734618657.0,1734618657.0
B5B1TX2,1509800,,,,,10/31/2024,1734618657.0,1734618657.0
6280215,175778,,,,,10/31/2024,1734618657.0,1734618657.0
B03N0C7,290585,,,,,10/31/2024,1734618657.0,1734618657.0
B1FFT76,228434,,,,,10/31/2024,1734618657.0,1734618657.0
6673570,178451,,,,,10/31/2024,1734618657.0,1734618657.0
BN4N9C0,53688,,,,,10/31/2024,1734618657.0,1734618657.0
7243530,55410,,,,,10/31/2024,1734618657.0,1734618657.0
5263251,56314,,,,,10/31/2024,1734618657.0,1734618657.0
B03MVJ8,174104,,,,,10/31/2024,1734618657.0,1734618657.0
4519449,44816,,,,,10/31/2024,1734618657.0,1734618657.0
6503138,196659,,,,,10/31/2024,1734618657.0,1734618657.0
BD5ZXH8,63789,,,,,10/31/2024,1734618657.0,1734618657.0
B9GFHQ6,86875,,,,,10/31/2024,1734618657.0,1734618657.0
BYXW419,30465,,,,,10/31/2024,1734618657.0,1734618657.0
6563206,199835,,,,,10/31/2024,1734618657.0,1734618657.0
BN0VX82,27107,,,,,10/31/2024,1734618657.0,1734618657.0
BG087C6,75367,,,,,10/31/2024,1734618657.0,1734618657.0
6889526,1109683,,,,,10/31/2024,1734618657.0,1734618657.0
6628008,45833,,,,,10/31/2024,1734618657.0,1734618657.0
B59SNS8,72519,,,,,10/31/2024,1734618657.0,1734618657.0
B59HPK1,107150,,,,,10/31/2024,1734618657.0,1734618657.0
7320154,46369,,,,,10/31/2024,1734618657.0,1734618657.0
BNC0DB0,280371,,,,,10/31/2024,1734618657.0,1734618657.0
B03NGS5,141250,,,,,10/31/2024,1734618657.0,1734618657.0
B63DG21,147630,,,,,10/31/2024,1734618657.0,1734618657.0
6148197,795213,,,,,10/31/2024,1734618657.0,1734618657.0
B12LZW4,112592,,,,,10/31/2024,1734618657.0,1734618657.0
B3C8VY3,197368,,,,,10/31/2024,1734618657.0,1734618657.0
BJTM270,360592,,,,,10/31/2024,1734618657.0,1734618657.0
B12LSY7,121258,,,,,10/31/2024,1734618657.0,1734618657.0
B1324D0,173192,,,,,10/31/2024,1734618657.0,1734618657.0
BMZQ749,33425,,,,,10/31/2024,1734618657.0,1734618657.0
B12M7Q5,287416,,,,,10/31/2024,1734618657.0,1734618657.0
4767981,1374068,,,,,10/31/2024,1734618657.0,1734618657.0
6801575,100821,,,,,10/31/2024,1734618657.0,1734618657.0
B128FN6,7160,,,,,10/31/2024,1734618657.0,1734618657.0
BSHYYN1,374393,,,,,10/31/2024,1734618657.0,1734618657.0
B03MYN3,124340,,,,,10/31/2024,1734618657.0,1734618657.0
BNGCVY1,572570,,,,,10/31/2024,1734618657.0,1734618657.0
B03MZJ6,809808,,,,,10/31/2024,1734618657.0,1734618657.0
