,Valuation Date,Issuer Grouping,SEDOL Code,Quantity,Currency,Country,Symbol,Exchange,SP Today lc,fx gbp today,SP Today GBP
0,6/30/2024,ABU DHABI COMMERCIAL BANK,6545464,1030804,AED,United Arab Emirates,ADCB,ADX,8.71,0.20564,1.7911244000000002
1,6/30/2024,ADNOC DRILLING COMPANY,BN12D39,2225680,AED,United Arab Emirates,ADNOCDRILL,ADX,4.5,0.20564,0.92538
2,6/30/2024,AED CASH(COMMITTED),CASH_AED,-7,AED,United Arab Emirates,AED,FX_IDC,1.0,0.20564,0.20564
3,6/30/2024,AKBANK A,B03MN70,717096,TRY,Turkey,AKBNK,BIST,58.099998,0.02187,1.27064695626
4,6/30/2024,AL MOUWASAT MEDICAL SERVICES,B403QG4,18608,SAR,Saudi Arabia,4002,TADAWUL,107.0,0.1998,21.378600000000002
5,6/30/2024,AL RAJHI BANK,B12LZH9,307693,SAR,Saudi Arabia,1120,TADAWUL,88.7,0.1998,17.722260000000002
6,6/30/2024,ALDAR PROPERTIES,B0LX3Y2,1096252,AED,United Arab Emirates,ALDAR,ADX,7.07,0.20564,1.4538748
7,6/30/2024,ALLEGRO SA 144A,BMBQDF6,187194,PLN,Poland,0A5O,LSIN,36.4561,0.1982,7.22559902
8,6/30/2024,ALPHA SERVICES AND HOLDINGS SA,BZ1MXR7,1423484,EUR,Greece,0RCS,LSIN,1.584,0.84698,1.34161632
9,6/30/2024,ANGLO AMERICAN PLATINUM LTD,6761000,29453,ZAR,South Africa,AMS,JSE,69557.0,0.04265,2966.60605
10,6/30/2024,ANGLO AMERICAN PLC,B1YW0L9,15169,ZAR,South Africa,AGL,JSE,52873.0,0.04265,2255.03345
11,6/30/2024,ANGLOGOLD ASHANTI PLC,BRF6FX9,49156,ZAR,South Africa,ANG,JSE,55101.0,0.04265,2350.05765
12,6/30/2024,BANK PEKAO SA,5473113,30517,PLN,Poland,0DP0,LSIN,161.7356,0.1982,32.05599592
13,6/30/2024,BID CORPORATION LTD,BZBFKT7,31499,ZAR,South Africa,BID,JSE,43253.0,0.04265,1844.74045
14,6/30/2024,BIM BIRLESIK MAGAZALAR A,B0D0006,135131,TRY,Turkey,BIMAS,BIST,546.0,0.02187,11.94102
15,6/30/2024,BUPA ARABIA,B2RLCR0,6954,SAR,Saudi Arabia,8210,TADAWUL,229.6,0.1998,45.87408
16,6/30/2024,CAPITEC LTD,6440859,26523,ZAR,South Africa,CPI,JSE,288803.0,0.04265,12317.44795
17,6/30/2024,CZK CASH(Alpha Committed),CASH_CZK,0,CZK,Czech Republic,CZK,FX_IDC,1.0,0.03377,0.03377
18,6/30/2024,DINO POLSKA SA 144A,BD0YVN2,8158,PLN,Poland,0TCP,LSIN,316.16339,0.1982,62.66358389799999
19,6/30/2024,DR SULAIMAN AL HABIB MEDICAL GRP,BLGM738,14091,SAR,Saudi Arabia,4013,TADAWUL,309.4,0.1998,61.81812
20,6/30/2024,EMAAR PROPERTIES,B01RM25,943209,AED,United Arab Emirates,EMAAR,DFM,8.34,0.20564,1.7150375999999998
21,6/30/2024,EMIRATES TELECOM,6322173,409997,AED,United Arab Emirates,EAND,ADX,17.639999,0.20564,3.6274893943599995
22,6/30/2024,ETIHAD ETISALAT,B12LR51,180591,SAR,Saudi Arabia,7020,TADAWUL,52.3,0.1998,10.449539999999999
23,6/30/2024,EUR CASH(Alpha Committed),CASH_EUR,4855,EUR,European Union,EUR,FX_IDC,1.0,0.84698,0.84698
24,6/30/2024,FIRST ABU DHABI BANK,6624471,484421,AED,United Arab Emirates,FAB,ADX,13.32,0.20564,2.7391248
25,6/30/2024,FIRSTRAND LTD,6606996,1108139,ZAR,South Africa,FSR,JSE,8508.0,0.04265,362.8662
26,6/30/2024,GAZPROM,B59L4L7,824340,RUB,Russian Federation,GAZP,ALOR,116.87,0.008251,0.96429437
27,6/30/2024,GBP CASH(Alpha Committed),CASH_GBP,55733,GBP,United Kingdom,GBP,FX_IDC,1.0,1.0,1.0
28,6/30/2024,GEDEON RICHTER,BC9ZH86,37234,HUF,Hungary,0QFP,LSIN,10620.074,0.002148,22.811918952000003
29,6/30/2024,GMK NORILSKIY NIKEL,B5B1TX2,1509800,RUB,Russian Federation,GMKN,ALOR,113.2,0.008251,0.9340132
30,6/30/2024,GOLD FIELDS LTD,6280215,147545,ZAR,South Africa,GFI,NYSE,14.52,0.04265,0.619278
31,6/30/2024,HACI OMER SABANCI HOLDING A,B03N0C7,268063,TRY,Turkey,SAHOL,BIST,87.300003,0.02187,1.9092510656100001
32,6/30/2024,HUF CASH(Alpha Committed),CASH_HUF,0,HUF,Hungary,HUF,FX_IDC,1.0,0.002148,0.002148
33,6/30/2024,IMPALA PLATINUM LTD,B1FFT76,167186,ZAR,South Africa,IMP,JSE,8847.0,0.04265,377.32455
34,6/30/2024,INDUSTRIES QATAR,6673570,178451,QAR,Qatar,IQCD,QSE,12.88,0.20775,2.67582
35,6/30/2024,INPOST SA,BN4N9C0,53688,EUR,Netherlands,INPST,EURONEXT,16.59,0.84698,14.0513982
36,6/30/2024,JSC KASPI KZ GLOBAL SPONSORED ADS,BJY21K1,8465,USD,Kazakhstan,KKS,FWB,112.0,0.75657,84.73584
37,6/30/2024,JUMBO SA,7243530,20181,EUR,Greece,0LRI,LSIN,22.810431,0.84698,19.31997884838
38,6/30/2024,KGHM POLSKA MIEDZ SA,5263251,62881,PLN,Poland,0O8D,LSIN,131.22739,0.1982,26.009268698
39,6/30/2024,KOC HOLDING A,B03MVJ8,254779,TRY,Turkey,KCHOL,BIST,185.2,0.02187,4.050324
40,6/30/2024,KOMERCNI BANK,4519449,44816,CZK,Czech Republic,KOMB,PSECZ,759.0,0.03377,25.63143
41,6/30/2024,KUWAIT FINANCE HOUSE,6503138,196659,KWD,Kuwait,KFH,KSE,718.0,2.458,1764.844
42,6/30/2024,KWD CASH(COMMITTED),CASH_KWD,106,KWD,Kuwait,KWD,FX_IDC,1.0,2.458,2.458
43,6/30/2024,MOL HUNGARIAN OIL AND GAS,BD5ZXH8,63789,HUF,Hungary,0RUK,LSIN,2738.0,0.002148,5.8812240000000005
44,6/30/2024,MOSCOW EXCHANGE,B9GFHQ6,86875,RUB,Russian Federation,MOEX,ALOR,206.09,0.008251,1.70044859
45,6/30/2024,MR PRICE GROUP LTD,BYXW419,55400,ZAR,South Africa,MRP,JSE,23816.0,0.04265,1015.7524
46,6/30/2024,MTN GROUP LTD,6563206,199835,ZAR,South Africa,MTN,JSE,9591.0,0.04265,409.05615
47,6/30/2024,NASPERS LIMITED N LTD,BN0VX82,28530,ZAR,South Africa,NPN,JSE,369997.0,0.04265,15780.37205
48,6/30/2024,NATIONAL BANK OF GREECE SA,BG087C6,235088,EUR,Greece,0RCR,LSIN,7.28489,0.84698,6.1701561322
49,6/30/2024,NATIONAL BANK OF KUWAIT,6889526,920069,KWD,Kuwait,NBK,KSE,877.0,2.458,2155.666
50,6/30/2024,NEDBANK GROUP LTD,6628008,45833,ZAR,South Africa,NED,JSE,29155.0,0.04265,1243.46075
51,6/30/2024,NK LUKOIL,B59SNS8,72519,RUB,Russian Federation,LKOH,ALOR,6421.0,0.008251,52.979670999999996
52,6/30/2024,NOVATEK,B59HPK1,107150,RUB,Russian Federation,NVTK,ALOR,922.0,0.008251,7.607422
53,6/30/2024,OTP BANK,7320154,46369,HUF,Hungary,0M69,LSIN,17675.674,0.002148,37.967347752
54,6/30/2024,PIRAEUS FINANCIAL HOLDINGS SA,BNC0DB0,132480,EUR,Greece,0RTY,LSIN,3.905,0.84698,3.3074568999999996
55,6/30/2024,PLN CASH(Alpha Committed),CASH_PLN,78488,PLN,Poland,PLN,FX_IDC,1.0,0.1982,0.1982
56,6/30/2024,POWSZECHNA KASA OSZCZEDNOSCI BANK,B03NGS5,199769,PLN,Poland,PKO,PSECZ,335.60001,0.1982,66.515921982
57,6/30/2024,PZU SA,B63DG21,97857,PLN,Poland,PZU,GPW,48.799999,0.1982,9.6721598018
58,6/30/2024,QAR CASH(Alpha Committed),CASH_QAR,0,QAR,Qatar,QAR,FX_IDC,1.0,0.20775,0.20775
59,6/30/2024,QATAR NATIONAL BANK,6148197,795213,QAR,Qatar,QNBK,QSE,15.55,0.20775,3.2305125
60,6/30/2024,RIYAD BANK,B12LZW4,155080,SAR,Saudi Arabia,1010,TADAWUL,26.7,0.1998,5.33466
61,6/30/2024,RON CASH(COMMITTED),CASH_RON,113263,RON,Romania,RON,FX_IDC,1.0,0.16972,0.16972
62,6/30/2024,SAR CASH(COMMITTED),CASH_SAR,8281,SAR,Saudi Arabia,SAR,FX_IDC,1.0,0.1998,0.1998
63,6/30/2024,SAUDI ARABIAN MINING,B3C8VY3,151825,SAR,Saudi Arabia,1211,TADAWUL,42.3,0.1998,8.45154
64,6/30/2024,SAUDI AWWAL BANK,B12LSY7,121258,SAR,Saudi Arabia,1060,TADAWUL,35.95,0.1998,7.182810000000001
65,6/30/2024,SAUDI BASIC INDUSTRIES,B1324D0,173192,SAR,Saudi Arabia,2010,TADAWUL,75.5,0.1998,15.084900000000001
66,6/30/2024,SAUDI TADAWUL GROUP CO,BMZQ749,19029,SAR,Saudi Arabia,1111,TADAWUL,240.0,0.1998,47.952
67,6/30/2024,SAUDI TELECOM,B12M7Q5,287416,SAR,Saudi Arabia,7010,TADAWUL,43.7,0.1998,8.73126
68,6/30/2024,SBERBANK ROSSII,4767981,1374068,RUB,Russian Federation,SBER,ALOR,259.18,0.008251,2.13849418
69,6/30/2024,SHOPRITE HOLDINGS LTD,6801575,100821,ZAR,South Africa,SHP,JSE,30768.0,0.04265,1312.2552
70,6/30/2024,THE COOPERATIVE INSURANCE,B128FN6,7160,SAR,Saudi Arabia,8010,TADAWUL,166.2,0.1998,33.206759999999996
71,6/30/2024,THE SAUDI NATIONAL BANK,BSHYYN1,351701,SAR,Saudi Arabia,1180,TADAWUL,36.85,0.1998,7.36263
72,6/30/2024,TRY CASH(Alpha Committed),CASH_TRY,7,TRY,Turkey,TRY,FX_IDC,1.0,0.02187,0.02187
73,6/30/2024,UNITED COMPANY RUSAL,BNGCVY1,572570,RUB,Russian Federation,RUAL,ALOR,33.05,0.008251,0.27269554999999995
74,6/30/2024,USD CASH(Alpha Committed),CASH_USD,5226829,USD,United States,USD,FX_IDC,1.0,0.75657,0.75657
75,6/30/2024,YANDEX NV CLASS A,B5BSZB3,82492,USD,Russian Federation,YDEX,ALOR,3810.0,0.75657,2882.5317
76,6/30/2024,YAPI VE KREDI BANKASI A,B03MZJ6,1398483,TRY,Turkey,YKBNK,BIST,30.1,0.02187,0.6582870000000001
77,6/30/2024,ZAR CASH(Alpha Committed),CASH_ZAR,403,ZAR,South Africa,ZAR,FX_IDC,1.0,0.04265,0.04265
