SEDOL,Name,Holding,Value,Weight
2857334,Vale - ADS,1051322.0,11238632.0,0.075
2196286,Vale S.A.,171218.0,1835003.0,0.012
2616580,Petrobrás - ADR,535629.0,7198854.0,0.048
2683410,Petrobrás - preference shares ADR,279029.0,3448798.0,0.023
2684532,Petrobrás,264216.0,1638586.0,0.011000000000000001
2421041,Grupo Financiero Banorte,1273956.0,8825363.0,0.059000000000000004
B00FSK0,Banco Bradesco - ADR,1974846.0,4838373.0,0.032
B00FM53,Banco Bradesco - Preference Shares,1238048.0,3073334.0,0.021
BW1YVH8,Walmart de México y Centroamérica,2752864.0,7547151.0,0.05
BG36ZK1,B3,3397874.0,6233721.0,0.040999999999999995
BF4J7N9,Hapvida Participacoes,9513854.0,5785151.0,0.038
BK4Y052,XP,301639.0,5260584.0,0.035
BYXZ2W5,Rumo,1530150.0,5257562.0,0.035
BNDQ8P6,Rede D'or Sao Luiz,935503.0,4744788.0,0.032
2393388,PINFRA,516309.0,4492576.0,0.03
2643674,Grupo México,806277.0,4207640.0,0.027999999999999997
B671GT8,Fibra Uno Administracion - REIT,3372218.0,3874446.0,0.026000000000000002
2581332,MAG Silver Corp,181439.0,3045754.0,0.02
B01CJZ2,MAG Silver Corp,46862.0,800403.0,0.006
2849739,Itaú Unibanco – ADR,635505.0,3838450.0,0.025
BRJPLM3,Azza Consultancy Services Ltd,521559.0,3713873.0,0.025
BYM4063,Becle Sab De,2661984.0,3500860.0,0.023
B1YW5V4,EZTEC,1424620.0,3435580.0,0.023
BN6NP19,Nu Holdings Ltd,223968.0,3375198.0,0.022000000000000002
B07C796,Alpargatas S.A.,2646707.0,3273667.0,0.022000000000000002
B0YFC60,Grupo Aeroportuario del Pacifico - ADS,18562.0,3230902.0,0.021
2771122,Sociedad Química Y Minera - ADR,80992.0,3110903.0,0.021
2491914,Kimberly-Clark,2022597.0,2897210.0,0.019
B0CGYD6,Lojas Renner,894971.0,2871021.0,0.019
BMZ9R04,Sendas Distribuidora,1972032.0,2548186.0,0.017
BGKG6M3,StoneCo Ltd,229295.0,2542881.0,0.017
BNZKZY4,Seatrium,1596200.0,2280440.0,0.015
2488671,Cemex - ADR,395044.0,2062130.0,0.013999999999999999
BYZ6D56,IRB Brasil Resseguros,269552.0,2016258.0,0.013000000000000001
2196189,Cia Cervecerias Unidas,212664.0,1176981.0,0.008
2217596,Cia Cervecerias Unidas - ADR,77280.0,838488.0,0.005
BJLSQZ2,Vamos,1842233.0,1998572.0,0.013000000000000001
2246039,FEMSA - ADR,17897.0,1734040.0,0.012
BP40HF4,Globant,7954.0,1668272.0,0.011000000000000001
2840970,CCR,699228.0,1479689.0,0.01
2189855,Cyrela Brazil Realty,384335.0,1442731.0,0.01
2406457,Cemex Sab de CV,2675906.0,1402326.0,0.009000000000000001
B56XQT8,Energisa,87100.0,649254.0,0.004
